,AMZN,AAPL,META,GOOGL,MSFT,NFLX
10/6/2017,0.2821445,0.2401235,0.2620785,0.2442935,0.1962795,0.4403435
10/9/2017,0.2888805,0.2383225,0.275786,0.245835,0.1946025,0.440806
10/10/2017,0.2948615,0.2444685,0.286624,0.252961,0.198693,0.4357405
10/11/2017,0.2878345,0.2380735,0.2808855,0.2520205,0.196106,0.436193
10/12/2017,0.282296,0.2366385,0.277725,0.255279,0.190655,0.440023
10/13/2017,0.2780485,0.2323225,0.263028,0.259982,0.187856,0.4246915
10/16/2017,0.279634,0.2356205,0.269855,0.253687,0.1888055,0.4396305
10/17/2017,0.275806,0.2313755,0.2671975,0.2379225,0.1957775,0.291384
10/18/2017,0.278447,0.2288495,0.262105,0.2466225,0.185152,0.290771
10/19/2017,0.27441,0.2485555,0.2752715,0.247458,0.191773,0.2839825
10/20/2017,0.266363,0.242471,0.2622935,0.241459,0.1831365,0.272858
10/23/2017,0.274926,0.2534205,0.290142,0.2531585,0.2145565,0.2901235
10/24/2017,0.2629185,0.2455545,0.282614,0.24857,0.207254,0.287496
10/25/2017,0.2681705,0.2473285,0.2892595,0.255473,0.215052,0.296455
10/26/2017,0.263465,0.2487925,0.283129,0.260756,0.2110505,0.289467
10/27/2017,0.215982,0.25864,0.276638,0.183728,0.136726,0.285777
10/30/2017,0.208503,0.274026,0.2973195,0.188151,0.1536495,0.3030335
10/31/2017,0.2029215,0.283644,0.3020305,0.1864165,0.1535005,0.296787
11/1/2017,0.207202,0.2813665,0.313642,0.185232,0.1502015,0.2874675
11/2/2017,0.209125,0.2643825,0.2207185,0.1795265,0.148476,0.279412
11/3/2017,0.2129855,0.2035165,0.204495,0.1702585,0.1466885,0.2712725
11/6/2017,0.2074315,0.1915465,0.1984645,0.173052,0.1471165,0.276615
11/7/2017,0.2067105,0.1919655,0.1980295,0.1868855,0.1479315,0.283942
11/8/2017,0.2067135,0.1820775,0.1956345,0.172581,0.1438055,0.282116
11/9/2017,0.2085465,0.184134,0.1988895,0.1913885,0.1511855,0.2904665
11/10/2017,0.206577,0.1841895,0.1931865,0.1812755,0.1550895,0.295307
11/13/2017,0.204609,0.188745,0.188222,0.1749705,0.154889,0.278214
11/14/2017,0.2022385,0.195475,0.190321,0.1671115,0.1515575,0.265736
11/15/2017,0.213302,0.204579,0.192459,0.168337,0.155674,0.261346
11/16/2017,0.1891855,0.1871525,0.176557,0.1713235,0.1469825,0.24419
11/17/2017,0.186935,0.1848085,0.1748325,0.166005,0.142586,0.239241
11/20/2017,0.1844525,0.1802355,0.1674595,0.1603025,0.1401525,0.2374595
11/21/2017,0.173986,0.1721065,0.156083,0.148412,0.1347375,0.2344495
11/22/2017,0.1766075,0.1660895,0.163461,0.149348,0.1369445,0.2342105
11/24/2017,0.1868085,0.1645195,0.1540325,0.1558845,0.136982,0.2219185
