Date,MSFT,microsoft stock
4/4/2017,26,15
4/5/2017,22,16
4/6/2017,22,20
4/7/2017,26,19
4/8/2017,10,6
4/9/2017,5,6
4/10/2017,20,11
4/11/2017,21,16
4/12/2017,23,14
4/13/2017,17,10
4/14/2017,11,7
4/15/2017,8,6
4/16/2017,5,3
4/17/2017,20,11
4/18/2017,21,16
4/19/2017,21,14
4/20/2017,25,13
4/21/2017,23,15
4/22/2017,10,9
4/23/2017,9,8
4/24/2017,32,19
4/25/2017,40,20
4/26/2017,38,22
4/27/2017,88,29
4/28/2017,72,24
4/29/2017,20,15
4/30/2017,7,8
5/1/2017,33,21
5/1/2017,22,14
5/2/2017,32,17
5/3/2017,28,18
5/4/2017,22,14
5/5/2017,20,14
5/6/2017,5,8
5/7/2017,7,6
5/8/2017,16,11
5/9/2017,17,9
5/10/2017,21,15
5/11/2017,21,14
5/12/2017,17,14
5/13/2017,9,8
5/14/2017,6,4
5/15/2017,21,16
5/16/2017,23,14
5/17/2017,23,10
5/18/2017,21,12
5/19/2017,17,12
5/20/2017,4,6
5/21/2017,4,3
5/22/2017,15,10
5/23/2017,19,15
5/24/2017,19,9
5/25/2017,20,12
5/26/2017,22,14
5/27/2017,4,5
5/28/2017,6,3
5/29/2017,8,4
5/30/2017,19,7
5/31/2017,24,13
6/1/2017,20,12
6/2/2017,25,11
6/3/2017,9,6
6/4/2017,7,4
6/5/2017,23,15
6/6/2017,22,11
6/7/2017,21,12
6/8/2017,23,12
6/9/2017,26,14
6/10/2017,9,7
6/11/2017,4,5
6/12/2017,25,19
